Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
6/03/2019,12.13,,,5.65,,1.67,
6/03/2019,9.90,,,,,1.77,
7/03/2019,12.43,,,6.78,,,
8/03/2019,10.73,,,7.08,,,
8/03/2019,42.38,,,,,1.26,
9/03/2019,26.77,,,6.88,,,
9/03/2019,28.05,,,7.61,,0.26,
10/03/2019,28.60,,,7.88,,,
10/03/2019,30.37,,,7.57,,0.17,
11/03/2019,11.47,,,8.00,,0.04,
12/03/2019,6.97,,,7.72,,,
13/03/2019,1,,,7.41,,0.12,
14/03/2019,21.30,,,5.73,,,
14/03/2019,9.13,,,,,,
15/03/2019,26.45,,,8.37,,,
15/03/2019,33.58,,,,,,
16/03/2019,32.58,,,8.37,,,
17/03/2019,12.40,,,8.57,,,
17/03/2019,14.94,,,8.46,,0.18,
18/03/2019,7.08,,,7.97,,0.02,
19/03/2019,1,,,7.74,,,
20/03/2019,9.60,,,8.11,,0.19,
21/03/2019,9.72,,,7.88,,,
22/03/2019,9.44,,,7.77,,,
23/03/2019,7.06,,,7.81,,,
24/03/2019,14.07,,,6.15,,,
25/03/2019,19.59,,,8.33,,,
25/03/2019,20.50,,,5.30,,1.02,
25/03/2019,13.96,,,8.20,,,
26/03/2019,21.10,,,8.26,,,
26/03/2019,3.12,,,,,,
27/03/2019,25.12,,,5.14,,0.06,
27/03/2019,25.58,,,8.66,,,
28/03/2019,23.34,,,7.51,,,
28/03/2019,21.94,,,,,,
29/03/2019,12.14,,,8.27,,,
29/03/2019,,,,,,0.05,
29/03/2019,8.57,,,,,,
30/03/2019,7.86,,,5.58,,,
31/03/2019,28.59,,,8.25,,,
31/03/2019,3.29,,,,,0.02,
1/04/2019,5.83,,,8.25,,0.48,
2/04/2019,1,,,8.15,,,
3/04/2019,10.08,,,7.80,,0.11,
4/04/2019,1,,,8.85,,,
5/04/2019,1,,,8.77,,,
6/04/2019,11.52,,,6.60,,,
6/04/2019,10.82,,,5.38,,0.34,
7/04/2019,9.81,,,7.96,,,
8/04/2019,13.24,,,8.21,,0.05,
8/04/2019,23.19,,,,,,
9/04/2019,7.83,,,7.65,,,
10/04/2019,30.24,,,7.34,,0.09,
10/04/2019,27.36,,,,,,
11/04/2019,11.26,,,7.60,,,
12/04/2019,12.04,,,8.14,,,
13/04/2019,10.12,,,7.69,,,
13/04/2019,10.32,,,,,,
14/04/2019,7.71,,,6.60,,,
15/04/2019,1,,,7.29,,0.13,
16/04/2019,1,,,7.72,,,
17/04/2019,1,,,6.84,,,
18/04/2019,18.03,,,8.44,,,
19/04/2019,17.36,,,8.42,,,
20/04/2019,14.40,,,7.41,,,
21/04/2019,11.56,,,8.68,,,
22/04/2019,11.40,,,7.40,,0.04,
23/04/2019,13.42,,,7.67,,,
24/04/2019,69.00,,,8.92,,0.15,
24/04/2019,46.11,,,6.61,,,
25/04/2019,51.86,,,7.09,,,
25/04/2019,76.56,,,,,0.07,
25/04/2019,53.60,,,,,0.06,
26/04/2019,71.29,,,7.91,,,
27/04/2019,39.27,,,7.57,,,
27/04/2019,27.00,,,,,0.07,
28/04/2019,45.41,,,6.75,,,
